id;status;tanggal;jam
4750;Check In;19/07/2019;11:02:13
484;Check In;19/07/2019;11:03:29
476;Check In;19/07/2019;11:05:13
486;Check In;19/07/2019;11:05:44
4751;Check In;19/07/2019;11:06:36
487;Check In;19/07/2019;11:07:07
490;Check In;19/07/2019;11:08:50
4748;Check In;19/07/2019;11:17:21
496;Check In;19/07/2019;11:20:47
479;Check In;19/07/2019;11:22:27
493;Check In;19/07/2019;11:23:42
134;Check In;19/07/2019;11:24:17
4752;Check In;19/07/2019;11:24:59
489;Check In;19/07/2019;11:27:41
474;Check In;19/07/2019;11:45:40
492;Check In;19/07/2019;12:01:40
485;Check In;19/07/2019;12:02:13
472;Check In;19/07/2019;12:07:48
497;Check In;19/07/2019;13:16:26
4749;Check In;19/07/2019;13:26:45
480;Check In;19/07/2019;18:13:54
471;Check In;15/07/2019;6:46:08
495;Check In;15/07/2019;6:53:17
483;Check In;15/07/2019;6:54:19
491;Check In;15/07/2019;6:54:30
488;Check In;15/07/2019;6:57:07
473;Check In;15/07/2019;6:58:44
470;Check In;15/07/2019;6:59:45
475;Check In;15/07/2019;7:00:31
476;Check In;15/07/2019;7:01:31
134;Check In;15/07/2019;7:02:44
485;Check In;15/07/2019;7:02:52
479;Check In;15/07/2019;7:03:01
469;Check In;15/07/2019;7:03:33
464;Check In;15/07/2019;7:04:02
492;Check In;15/07/2019;7:04:15
546;Check In;15/07/2019;7:04:32
489;Check In;15/07/2019;7:50:21
491;Check In;15/07/2019;15:37:25
546;Check In;15/07/2019;15:37:44
479;Check In;15/07/2019;15:38:30
495;Check In;15/07/2019;15:42:27
475;Check In;15/07/2019;16:19:15
485;Check In;15/07/2019;16:42:33
483;Check In;15/07/2019;16:58:11
477;Check In;16/07/2019;6:34:09
488;Check In;16/07/2019;6:46:16
493;Check In;16/07/2019;6:47:42
491;Check In;16/07/2019;6:53:10
495;Check In;16/07/2019;6:56:07
469;Check In;16/07/2019;6:57:22
473;Check In;16/07/2019;7:00:20
475;Check In;16/07/2019;7:01:16
471;Check In;16/07/2019;7:02:06
492;Check In;16/07/2019;7:02:12
470;Check In;16/07/2019;7:02:24
134;Check In;16/07/2019;7:03:29
134;Check In;16/07/2019;15:30:43
493;Check In;16/07/2019;15:33:29
470;Check In;16/07/2019;15:34:53
495;Check In;16/07/2019;15:35:17
491;Check In;16/07/2019;15:35:37
483;Check In;16/07/2019;15:38:14
463;Check In;16/07/2019;15:40:03
490;Check In;16/07/2019;15:40:28
473;Check In;16/07/2019;15:58:22
546;Check In;16/07/2019;16:00:19
473;Check In;17/07/2019;6:19:31
477;Check In;17/07/2019;6:40:11
488;Check In;17/07/2019;6:47:42
483;Check In;17/07/2019;6:50:58
491;Check In;17/07/2019;6:51:40
497;Check In;17/07/2019;6:56:58
475;Check In;17/07/2019;6:57:20
471;Check In;17/07/2019;6:57:36
472;Check In;17/07/2019;6:59:03
469;Check In;17/07/2019;6:59:26
489;Check In;17/07/2019;6:59:36
476;Check In;17/07/2019;6:59:58
490;Check In;17/07/2019;7:00:17
495;Check In;17/07/2019;7:00:42
134;Check In;17/07/2019;7:02:06
463;Check In;17/07/2019;7:04:56
470;Check In;17/07/2019;7:09:00
462;Check In;17/07/2019;7:17:13
480;Check In;17/07/2019;7:17:24
493;Check In;17/07/2019;7:21:01
491;Check In;17/07/2019;15:32:28
463;Check In;17/07/2019;15:37:51
476;Check In;17/07/2019;15:38:23
471;Check In;17/07/2019;15:41:47
495;Check In;17/07/2019;15:44:48
485;Check In;17/07/2019;15:52:27
485;Check In;17/07/2019;16:12:13
473;Check In;17/07/2019;16:57:09
477;Check In;18/07/2019;6:47:55
491;Check In;18/07/2019;6:49:11
475;Check In;18/07/2019;6:57:53
488;Check In;18/07/2019;6:58:26
469;Check In;18/07/2019;6:58:55
492;Check In;18/07/2019;7:00:37
490;Check In;18/07/2019;7:00:49
134;Check In;18/07/2019;7:04:00
495;Check In;18/07/2019;7:04:05
473;Check In;18/07/2019;7:05:11
463;Check In;18/07/2019;7:05:36
485;Check In;18/07/2019;7:05:59
471;Check In;18/07/2019;7:06:36
470;Check In;18/07/2019;7:15:37
134;Check In;18/07/2019;15:00:34
490;Check In;18/07/2019;15:02:57
491;Check In;18/07/2019;15:04:56
495;Check In;18/07/2019;15:05:54
471;Check In;18/07/2019;15:34:59
470;Check In;18/07/2019;15:46:21
473;Check In;18/07/2019;15:47:05
463;Check In;18/07/2019;16:10:25
546;Check In;18/07/2019;18:13:39
491;Check In;19/07/2019;6:24:37
469;Check In;19/07/2019;6:57:51
495;Check In;19/07/2019;6:58:01
134;Check In;19/07/2019;6:58:25
489;Check In;19/07/2019;6:58:41
497;Check In;19/07/2019;6:59:08
473;Check In;19/07/2019;7:00:29
492;Check In;19/07/2019;7:00:54
490;Check In;19/07/2019;7:01:41
475;Check In;19/07/2019;7:03:21
486;Check In;19/07/2019;7:03:45
471;Check In;19/07/2019;7:08:47
485;Check In;19/07/2019;7:15:59
493;Check In;19/07/2019;7:29:35
546;Check In;19/07/2019;8:00:50
477;Check In;19/07/2019;11:00:34
491;Check In;19/07/2019;11:05:16
495;Check In;19/07/2019;11:12:10
463;Check In;19/07/2019;11:27:43
471;Check In;19/07/2019;11:28:01
475;Check In;19/07/2019;12:02:12
469;Check In;19/07/2019;13:23:26
